date,modal_price,min_price,max_price,unit
2022-01-01,22.0,18.0,28.0,piece
2022-02-01,24.0,20.0,30.0,piece
2022-03-01,27.0,22.0,33.0,piece
2022-04-01,29.0,24.0,35.0,piece
2022-05-01,31.0,26.0,38.0,piece
2022-06-01,30.0,25.0,37.0,piece
2022-07-01,32.0,27.0,39.0,piece
2022-08-01,34.0,28.0,41.0,piece
2022-09-01,35.0,29.0,42.0,piece
2022-10-01,36.0,30.0,44.0,piece
2022-11-01,37.0,31.0,45.0,piece
2022-12-01,38.0,32.0,46.0,piece
2023-01-01,37.0,31.0,45.0,piece
2023-02-01,38.0,32.0,46.0,piece
2023-03-01,39.0,33.0,47.0,piece
2023-04-01,40.0,34.0,48.0,piece
2023-05-01,42.0,36.0,50.0,piece
2023-06-01,40.0,34.0,48.0,piece
2023-07-01,41.0,35.0,49.0,piece
2023-08-01,43.0,37.0,51.0,piece
2023-09-01,44.0,38.0,52.0,piece
2023-10-01,45.0,39.0,53.0,piece
2023-11-01,46.0,40.0,54.0,piece
2023-12-01,47.0,41.0,55.0,piece
2024-01-01,46.0,40.0,54.0,piece
2024-02-01,47.0,41.0,55.0,piece
2024-03-01,48.0,42.0,56.0,piece
2024-04-01,49.0,43.0,57.0,piece
2024-05-01,51.0,45.0,59.0,piece
2024-06-01,49.0,43.0,57.0,piece
2024-07-01,50.0,44.0,58.0,piece
2024-08-01,52.0,46.0,60.0,piece
2024-09-01,53.0,47.0,61.0,piece
2024-10-01,54.0,48.0,62.0,piece
2024-11-01,55.0,49.0,63.0,piece
2024-12-01,56.0,50.0,64.0,piece
2025-01-01,55.0,49.0,63.0,piece
2025-02-01,56.0,50.0,64.0,piece
2025-03-01,57.0,51.0,65.0,piece
2025-04-01,58.0,52.0,66.0,piece
2025-05-01,60.0,54.0,68.0,piece
2025-06-01,58.0,52.0,66.0,piece
2025-07-01,59.0,53.0,67.0,piece
2025-08-01,61.0,55.0,69.0,piece
2025-09-01,63.0,57.0,71.0,piece
2025-10-01,65.0,59.0,73.0,piece
2025-11-01,67.0,61.0,75.0,piece
2025-12-01,69.0,63.0,78.0,piece
2026-01-01,66.0,60.0,74.0,piece
2026-02-01,67.0,61.0,75.0,piece
2026-03-01,69.0,63.0,78.0,piece
2026-04-01,71.0,65.0,80.0,piece
2026-05-01,74.0,68.0,83.0,piece
2026-06-01,72.0,66.0,81.0,piece
2026-07-01,73.0,67.0,82.0,piece
2026-08-01,75.0,69.0,84.0,piece
