date,modal_price,min_price,max_price,unit
2022-01-01,480.0,440.0,530.0,kg
2022-02-01,500.0,460.0,550.0,kg
2022-03-01,530.0,490.0,580.0,kg
2022-04-01,560.0,520.0,610.0,kg
2022-05-01,600.0,560.0,650.0,kg
2022-06-01,580.0,540.0,630.0,kg
2022-07-01,620.0,580.0,670.0,kg
2022-08-01,660.0,620.0,710.0,kg
2022-09-01,700.0,660.0,750.0,kg
2022-10-01,720.0,680.0,770.0,kg
2022-11-01,740.0,700.0,790.0,kg
2022-12-01,760.0,720.0,810.0,kg
2023-01-01,750.0,710.0,800.0,kg
2023-02-01,760.0,720.0,810.0,kg
2023-03-01,780.0,740.0,830.0,kg
2023-04-01,800.0,760.0,850.0,kg
2023-05-01,830.0,790.0,880.0,kg
2023-06-01,810.0,770.0,860.0,kg
2023-07-01,840.0,800.0,890.0,kg
2023-08-01,860.0,820.0,910.0,kg
2023-09-01,880.0,840.0,930.0,kg
2023-10-01,900.0,860.0,950.0,kg
2023-11-01,910.0,870.0,960.0,kg
2023-12-01,920.0,880.0,970.0,kg
2024-01-01,900.0,860.0,950.0,kg
2024-02-01,910.0,870.0,960.0,kg
2024-03-01,930.0,890.0,980.0,kg
2024-04-01,950.0,910.0,1000.0,kg
2024-05-01,980.0,940.0,1030.0,kg
2024-06-01,960.0,920.0,1010.0,kg
2024-07-01,990.0,950.0,1040.0,kg
2024-08-01,1010.0,970.0,1060.0,kg
2024-09-01,1030.0,990.0,1080.0,kg
2024-10-01,1050.0,1010.0,1100.0,kg
2024-11-01,1060.0,1020.0,1110.0,kg
2024-12-01,1070.0,1030.0,1120.0,kg
2025-01-01,1050.0,1010.0,1100.0,kg
2025-02-01,1060.0,1020.0,1110.0,kg
2025-03-01,1080.0,1040.0,1130.0,kg
2025-04-01,1100.0,1060.0,1150.0,kg
2025-05-01,1130.0,1090.0,1180.0,kg
2025-06-01,1110.0,1070.0,1160.0,kg
2025-07-01,1140.0,1100.0,1190.0,kg
2025-08-01,1160.0,1120.0,1210.0,kg
2025-09-01,1190.0,1150.0,1240.0,kg
2025-10-01,1210.0,1170.0,1260.0,kg
2025-11-01,1220.0,1180.0,1270.0,kg
2025-12-01,1230.0,1190.0,1280.0,kg
2026-01-01,1210.0,1170.0,1260.0,kg
2026-02-01,1220.0,1180.0,1270.0,kg
2026-03-01,1240.0,1200.0,1290.0,kg
2026-04-01,1260.0,1220.0,1310.0,kg
2026-05-01,1290.0,1250.0,1340.0,kg
2026-06-01,1270.0,1230.0,1320.0,kg
2026-07-01,1300.0,1260.0,1350.0,kg
2026-08-01,1330.0,1290.0,1380.0,kg
