date,modal_price,min_price,max_price,unit
2022-01-01,2200.0,2050.0,2400.0,quintal
2022-02-01,2250.0,2080.0,2450.0,quintal
2022-03-01,2300.0,2100.0,2520.0,quintal
2022-04-01,2350.0,2120.0,2580.0,quintal
2022-05-01,2500.0,2200.0,2700.0,quintal
2022-06-01,2450.0,2180.0,2650.0,quintal
2022-07-01,2600.0,2300.0,2850.0,quintal
2022-08-01,2700.0,2400.0,2950.0,quintal
2022-09-01,2800.0,2500.0,3050.0,quintal
2022-10-01,2900.0,2600.0,3150.0,quintal
2022-11-01,3000.0,2700.0,3250.0,quintal
2022-12-01,3100.0,2800.0,3350.0,quintal
2023-01-01,3050.0,2750.0,3300.0,quintal
2023-02-01,3100.0,2800.0,3350.0,quintal
2023-03-01,3200.0,2900.0,3450.0,quintal
2023-04-01,3300.0,3000.0,3550.0,quintal
2023-05-01,3450.0,3100.0,3700.0,quintal
2023-06-01,3400.0,3050.0,3650.0,quintal
2023-07-01,3550.0,3200.0,3800.0,quintal
2023-08-01,3600.0,3250.0,3900.0,quintal
2023-09-01,3700.0,3350.0,4000.0,quintal
2023-10-01,3800.0,3450.0,4100.0,quintal
2023-11-01,3850.0,3500.0,4150.0,quintal
2023-12-01,3900.0,3550.0,4200.0,quintal
2024-01-01,3800.0,3450.0,4100.0,quintal
2024-02-01,3820.0,3470.0,4120.0,quintal
2024-03-01,3900.0,3550.0,4200.0,quintal
2024-04-01,3950.0,3600.0,4250.0,quintal
2024-05-01,4050.0,3700.0,4350.0,quintal
2024-06-01,3980.0,3620.0,4280.0,quintal
2024-07-01,4100.0,3750.0,4400.0,quintal
2024-08-01,4150.0,3800.0,4450.0,quintal
2024-09-01,4200.0,3850.0,4500.0,quintal
2024-10-01,4250.0,3900.0,4550.0,quintal
2024-11-01,4300.0,3950.0,4600.0,quintal
2024-12-01,4350.0,4000.0,4650.0,quintal
2025-01-01,4200.0,3850.0,4500.0,quintal
2025-02-01,4220.0,3870.0,4520.0,quintal
2025-03-01,4300.0,3950.0,4600.0,quintal
2025-04-01,4380.0,4020.0,4680.0,quintal
2025-05-01,4450.0,4080.0,4760.0,quintal
2025-06-01,4400.0,4020.0,4720.0,quintal
2025-07-01,4500.0,4120.0,4820.0,quintal
2025-08-01,4550.0,4170.0,4870.0,quintal
2025-09-01,4620.0,4240.0,4950.0,quintal
2025-10-01,4680.0,4300.0,5010.0,quintal
2025-11-01,4720.0,4340.0,5060.0,quintal
2025-12-01,4780.0,4400.0,5120.0,quintal
2026-01-01,4650.0,4270.0,4980.0,quintal
2026-02-01,4680.0,4300.0,5010.0,quintal
2026-03-01,4750.0,4370.0,5090.0,quintal
2026-04-01,4820.0,4440.0,5160.0,quintal
2026-05-01,4900.0,4510.0,5250.0,quintal
2026-06-01,4840.0,4440.0,5190.0,quintal
2026-07-01,4950.0,4560.0,5310.0,quintal
2026-08-01,5020.0,4620.0,5380.0,quintal
